loan_id,age,annual_income,employment_years,credit_score,loan_amount,loan_term_months,debt_to_income,num_credit_lines,num_late_payments,has_mortgage,home_ownership,loan_purpose,state_region,monthly_obligations,loan_outcome
951B74A5DAB4,46,33000.0,15.3,613,38000.0,48,0.119,5.0,1,0,Own,Debt Consolidation,Southeast,1825.52,1
9CA09863F571,30,27100.0,15.2,659,54700.0,60,0.116,6.0,6,0,Mortgage,Debt Consolidation,Midwest,2183.08,2
AE1AA289139A,51,65100.0,13.4,715,90100.0,60,0.07,7.0,0,1,Mortgage,Home Improvement,Northeast,1629.48,0
AA9E40CD8BE3,53,58900.0,23.5,812,87000.0,24,0.089,6.0,3,1,Mortgage,Home Improvement,West,1245.0,0
0C7E509C62AF,19,15900.0,6.9,720,59800.0,60,0.201,1.0,0,1,Mortgage,Education,Midwest,2496.53,2
7BE6BBD1C311,26,26500.0,7.0,566,19400.0,36,0.108,4.0,6,1,Mortgage,Other,Midwest,1329.44,2
062AA3F0F437,44,62300.0,4.7,755,32000.0,60,0.184,7.0,0,0,Rent,Debt Consolidation,Midwest,2032.74,0
20E1D3EA2ABB,38,52100.0,,725,60500.0,60,0.235,3.0,0,0,Mortgage,Business,West,1313.84,0
9AF689F98AE2,42,43500.0,22.3,708,36300.0,36,0.222,1.0,5,0,Rent,Business,Midwest,1574.34,2
83FC367FB219,32,75600.0,5.2,718,68600.0,60,0.237,5.0,2,0,Mortgage,Home Improvement,Midwest,163.23,0
BE21A1E14649,53,24500.0,0.4,646,52700.0,24,0.206,,0,1,Rent,Other,Southwest,2212.46,2
F998DA6CED22,51,39100.0,8.4,728,62400.0,48,0.18,2.0,0,1,Mortgage,Home Improvement,Midwest,2190.82,1
223F1D788BEF,43,72000.0,10.6,560,22500.0,48,0.405,7.0,7,1,Rent,Home Improvement,Midwest,2182.36,2
1A8F2536EF4D,56,37900.0,12.0,783,28800.0,60,0.14,7.0,1,0,Rent,Home Improvement,West,1581.1,0
0563ECD2EE9D,48,64300.0,0.0,850,68200.0,36,0.223,3.0,1,1,Rent,Home Improvement,West,2442.51,0
34A5C9D26049,32,28800.0,4.1,830,21900.0,60,0.295,3.0,0,1,Own,Debt Consolidation,Midwest,1426.66,0
C7FA79B13CDF,46,34400.0,19.7,648,82300.0,60,0.232,4.0,1,1,Mortgage,Education,Northeast,2428.22,2
EBA793CBE287,30,20300.0,14.9,749,51000.0,36,0.138,6.0,0,1,Rent,Other,Southeast,1978.7,1
522521E1BD92,53,17500.0,4.4,771,53800.0,60,0.235,9.0,0,0,Own,Education,Southwest,1276.94,2
5851B6439402,41,41700.0,17.7,744,65600.0,48,0.242,4.0,1,1,Mortgage,Debt Consolidation,Midwest,2034.18,1
D5B1BCD320E8,40,69400.0,17.8,630,45600.0,60,0.188,4.0,0,0,Rent,Other,Southwest,2024.17,1
7C80D95DCD7C,34,50900.0,27.8,648,57700.0,60,0.196,7.0,1,1,Own,Home Improvement,Midwest,979.83,0
5440B3214B7C,57,102600.0,8.3,605,291400.0,48,0.305,9.0,2,1,Own,Education,Southeast,1574.03,2
CDE1D6F8AC9A,40,43700.0,4.6,622,53900.0,60,0.324,8.0,2,1,Rent,Education,Midwest,2730.58,2
0E3F9C570F41,37,16900.0,8.8,850,19700.0,24,0.097,4.0,0,0,Rent,Other,Midwest,1758.86,0
946B6FC4D61A,38,65500.0,,688,51200.0,60,0.474,3.0,6,1,Mortgage,Debt Consolidation,Southeast,1431.6,1
C4BADDECA24A,48,29900.0,0.0,602,57600.0,36,0.127,,4,1,Mortgage,Home Improvement,Southwest,771.6,2
E81EA9A64F81,46,58100.0,10.0,741,62200.0,60,0.268,4.0,0,1,Own,Debt Consolidation,Southwest,2277.08,0
5DCA3A77B288,47,15400.0,10.3,846,36800.0,24,0.326,4.0,2,1,Mortgage,Debt Consolidation,West,2666.98,2
AB820ECE8B49,47,46600.0,20.6,729,35800.0,36,0.186,14.0,2,0,Mortgage,Other,Southeast,2963.21,0
EE11F193C93A,68,79700.0,5.7,692,56500.0,36,0.47,5.0,4,1,Mortgage,Home Improvement,Midwest,1459.32,1
B00C56C6AB16,37,74600.0,,454,166800.0,60,0.089,3.0,0,0,Own,Debt Consolidation,West,1262.99,2
939442C9CDCB,36,47200.0,14.2,617,57100.0,36,0.273,3.0,0,0,Mortgage,Debt Consolidation,Southeast,1929.75,1
4BAE22E3CD34,32,52700.0,5.1,718,35400.0,60,0.11,11.0,0,1,Own,Debt Consolidation,Southeast,1218.59,0
4BA0A35FE1AC,49,41200.0,3.6,838,118300.0,36,0.319,8.0,0,1,Mortgage,Education,Southeast,1025.03,1
20C147BB39F6,56,46000.0,25.0,677,60200.0,36,0.127,5.0,0,1,Mortgage,Education,Northeast,2360.35,1
A0B01716F212,41,76500.0,14.5,765,30700.0,24,0.103,6.0,0,0,Rent,Home Improvement,Southwest,454.56,0
7D6A11B7DBA3,32,35900.0,19.7,723,75900.0,24,0.321,6.0,0,1,Rent,Debt Consolidation,Midwest,79.9,1
FAC5BE2C4993,32,37900.0,15.8,670,46700.0,48,0.287,2.0,0,0,Own,Home Improvement,Midwest,289.77,0
4060E607FED8,50,22700.0,,612,39300.0,24,0.211,5.0,0,1,Rent,Debt Consolidation,Northeast,896.35,2
AD0CE1E0302C,51,77300.0,5.2,693,49800.0,60,0.246,,1,0,Own,Home Improvement,Northeast,2010.3,0
57AC6FB46E22,49,45400.0,5.5,850,48900.0,36,0.388,6.0,4,0,Own,Other,Midwest,2161.5,1
B2561D249E4C,34,27000.0,4.1,486,6500.0,36,0.228,6.0,1,0,Own,Home Improvement,Midwest,1578.81,2
4B7EC852B6FD,45,85200.0,4.2,660,29900.0,60,0.17,3.0,0,1,Own,Debt Consolidation,West,1853.46,0
C28E1FD21E02,43,51200.0,3.8,657,105700.0,60,0.085,2.0,0,1,Own,Education,Southeast,1535.02,2
